"TIV of arms exports from China, 1970-2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 09 December 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
Albania,250,332,134,104,134,53,5,7,5,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,1048
Algeria,,,,,,,,,,,,,,,,,,,5,,45,80,,,,5,,,,,10,11,14,,,,61,,,,18,,,,68,245,496,17,57,24,3,1158
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,,,15,42,72
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,4
Bangladesh,,,,,,5,20,21,9,1,53,20,59,109,9,61,1,1,231,301,96,61,87,5,20,9,7,,,33,11,2,,,7,1,184,67,9,,13,81,151,488,201,450,262,205,92,637,27,4105
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,,,4
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,0
Bolivia,,,,,,,,,,,,,,,,,,,,,,,12,3,,2,,,,,,,,5,,,,,,,,21,,,20,,4,,1,,,68
Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,12
Burkina Faso,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,5
Cambodia,,,,,,,,,38,,,,,,,5,,,2,,,,,,4,,,,,,,,,,,,,56,,4,,,15,39,,,,,2,1,,166
Cameroon,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,118,85,,,,,,,230
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,16,,,39,,,,,,,,61
Congo,,14,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,1,,,,,,,,,,,,29
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,4,,,0,,13
DR Congo,,,,1,1,25,90,,28,,,6,6,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,174
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,0,,,,8,,,,,,,,,,,12
Egypt,,,,,,88,,,,200,270,,405,304,578,209,163,28,28,28,28,28,28,36,28,28,,,,,,18,67,88,88,21,,35,35,35,35,,1,1,1,,6,18,18,,,2941
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,34
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,8
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,2,50,2,,,,2,2,,77
FNLA (Angola)*,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,,,,,,,,,,,,,25,,31
Gambia,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,14,,11,2,56,,22,,13,8,,,,,130
Guinea,,,,18,18,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54
Guinea-Bissau,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,3,,2,8,64,73,34,38,40,34,16,21,16,363
Iran,,,,,,,,,,,,1,193,219,180,126,516,539,184,60,87,96,103,304,269,54,318,52,68,62,67,78,79,82,78,41,52,45,45,45,60,50,29,9,9,9,,,,,,4212
Iraq,,,,,,,,,,,,,389,587,788,698,755,826,195,25,,,,,,,,,,,,,,,20,,,,,,,,,,,27,27,,,,,4337
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,2,,,,1,,24,,,,,35
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,23,,,32
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,12,,,,,,,10,,,13,,,,7,10,11,,,,,73
Khmer Rouge (Cambodia)*,,2,2,2,2,2,,,,,,,,,,,,,2,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,15,20,21,,,,,,,,,,,,,,,,,,86
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
Laos,,10,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,7,,,,15,15,,1,,2,51,9,,117
Libya,,,,,,,,,,,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,26,,31
Mali,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,4,,,,29
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,8,,,,,17,7,,,,,,,,,,,,,34,,,25,,95
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,6
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,34,34,,,,,,,,,289
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,,,,,5
Mujahedin (Afghanistan)*,,,,,,,,,,,,,,,4,4,10,10,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
Myanmar,,,,,,,,,,,,,,,,,,,,34,217,182,13,323,93,176,118,197,156,116,3,50,9,57,74,23,10,4,13,19,5,277,251,189,63,180,215,119,94,47,,3325
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,14,,,,,66,,66,5,,,52,9,,,3,34,,,,252
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,8,1,,14,,24
Nicaragua,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,4
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,,,,57,22,36,,,,57,328
