"TIV of arms exports from Germany, 1970-2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 09 December 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,7,,,,,,11
Algeria,,,,,,,,,,,,,,,,,,,3,,,,1,1,1,3,,,,,,,3,,,,,,,,,,,9,13,10,555,33,48,48,48,774
Argentina,3,3,,2,358,,5,,,9,25,89,106,813,521,403,165,133,3,,130,,,,161,7,,18,25,,130,,,,130,,,,,,,,,2,2,,,,,,,3240
Australia,,,,,,,53,66,125,,,,,,,,,,,,,,,,,,251,,251,,,251,251,251,251,251,251,1,32,13,35,29,14,,7,9,20,11,27,29,27,2509
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,2,,65,30,,,0,5,6,5,8,4,244,190,285,,,,,2,,,5,4,6,,858
Bahrain,,,,,,,,2,1,,,29,,,88,,44,76,76,44,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,363
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,9,,,,,,,,16
Belgium,207,181,,,,44,44,90,135,135,135,,,,,,,,,,,,,,,,,,,,,,,,,0,9,10,10,10,10,6,,11,22,11,,,,,12,1081
Benin,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,7,,,,,,,13
Brazil,,30,30,1,0,0,48,18,57,41,18,2,,,,1,1,1,1,176,1,5,5,,175,32,181,,,191,,,,,,170,,,4,65,137,172,37,43,47,40,,,,,7,1737
Brunei,,,,,,,,,2,4,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,193,,,63,,,,,,,335
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,10
Cameroon,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Canada,,,,,,,,,160,143,,,,,,,,,,,18,,,,,,,,,23,38,31,,,,,2,42,0,,,0,,,,,18,74,11,,,560
Chile,,,,,,,7,33,42,71,4,,,,250,,1,,,7,17,2,,,,,,44,44,,5,,,,,1,1,86,156,172,162,10,8,,36,,,40,,,15,1214
China,2,2,2,3,3,3,3,3,3,12,7,2,12,12,12,12,12,12,12,12,12,12,12,16,12,12,18,8,8,14,8,8,6,8,16,16,12,10,3,3,3,3,3,11,11,15,7,11,15,15,15,465
Colombia,,,,,,286,,,,,,,,142,420,,,,,,,,,,,,,17,17,,,,,3,,,,,,,,10,70,8,44,83,,36,,,,1136
Costa Rica,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Croatia,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,,,,,,,,,,,,,,,,,,11,,11,,,,23
Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,5
Denmark,80,,,,,,280,268,188,,2,2,2,,,,,,,0,61,51,10,11,21,10,21,1,10,10,1,16,27,42,86,47,,,,,,,24,,47,,,,,,21,1338
DR Congo,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Ecuador,,47,,,,,44,246,158,,,,10,30,20,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,10,567
Egypt,,,,,,,,,,,,8,16,,,,10,10,10,10,10,11,10,10,10,10,10,10,10,10,12,20,35,131,1,9,9,9,9,9,9,9,9,25,23,26,198,202,6,40,231,1182
El Salvador,,1,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Estonia,,,,,,,,,,,,,,,,,,,,,,,,2,12,7,,6,,,9,,,2,7,2,,,,,,,,,,,,,,,,47
Ethiopia,2,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,6
Finland,,,,,,,,,,,,3,,,,6,3,,,,2,13,144,40,63,,,,12,,,,,208,,17,16,23,,,,,8,8,,,8,,,,,572
France,,,,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,,,2,6,2,2,0,,8,,,8,8,8,8,8,,158
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,0,0,,,,,5
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,4
Ghana,,,,,,18,,,,,30,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,112
Greece,173,126,316,,,59,101,126,78,330,182,162,,193,136,50,0,,125,17,72,68,314,291,786,188,246,,516,101,124,,6,156,126,78,487,485,284,275,399,,,2,110,563,275,,,,13,8138
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Honduras,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
Hungary,,,,,,,,,,,,,,,,,,,,,,16,,50,,,,,,,,,,,18,,,,,,,,,,,,,,26,13,65,188
Iceland,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
India,,,,,,115,,,,,,,,,3,8,434,35,35,46,50,59,244,31,225,10,14,18,14,18,169,31,22,12,10,8,20,25,25,31,50,34,9,20,28,59,40,33,5,71,74,2133
Indonesia,,,,,,,,1,21,29,24,264,12,10,6,10,4,,42,46,8,2,20,196,455,230,158,,,2,50,8,27,7,27,7,,,,1,,7,1,11,85,29,113,76,20,0,0,2009
Iran,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
Iraq,,,,,,,,,,12,3,,26,14,17,,,,30,23,17,,,,,,,,,,,,,,,,,,,,,36,18,,6,13,3,16,,,,235
Ireland,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,3,5,,,,,,,,,,,,,,,,11
Israel,236,14,,10,10,5,5,150,5,5,10,5,5,,,,,,,,,5,,,1,1,8,4,1,500,266,16,21,85,6,19,13,23,13,13,19,25,13,144,349,349,31,31,33,33,33,2508
Italy,126,193,229,66,322,272,267,267,267,141,141,15,56,60,60,62,43,43,41,10,10,10,12,8,8,35,35,5,5,6,,20,29,29,29,45,320,320,45,45,63,,,,,,280,280,,,,4316
Japan,,1,,1,1,1,1,1,1,,,,,,48,40,43,43,43,43,44,33,26,26,24,24,13,10,10,10,,,,,,,,,,2,2,7,9,5,5,5,,,,,,517
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,5,5,,,,,,,,,20,13,29,10,18,113
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,3,3,3,7,13,,,,39
Kenya,,,,,,,,4,4,3,4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,22
Kuwait,,,,,,,,,,,,,132,63,195,,,,0,0,1,,,,3,,,,,8,12,2,3,3,2,,,,,,,,,,,,,5,,,,429
Latvia,,,,,,,,,,,,,,,,,,,,,,,,8,12,6,,,,4,,,,,,,,,,,,5,9,5,5,,,,,,,53
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,4
