"TIV of arms exports from United Kingdom, 1970-2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 09 December 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,5
Algeria,,,,,,,11,4,4,2,,,9,9,82,19,,,,,,9,9,9,,,,9,9,,,9,,9,,9,9,,,,47,42,5,,,36,36,,,,,388
Angola,,,,,,,,,,6,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,17
Argentina,41,70,,,,20,305,3,25,6,7,310,,45,15,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,847
Australia,8,9,7,17,62,50,,80,115,50,62,132,42,84,54,5,5,9,4,37,15,15,15,,,,6,,,12,87,291,137,45,17,8,,,,,,80,49,,17,2,,,10,10,,1649
Austria,,,,,,,,,,,,,,,,,,,,,,,,,22,7,,3,,,,,,37,18,,,,,,,,,,,,,,,,,87
Bahamas,,,,,,,,,11,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44
Bahrain,,0,7,,,,,,,,5,2,,,,10,,,1,,,,,,,,,,,,,25,,0,,,60,,,,,,,,,,,,28,,15,153
Bangladesh,,,,2,,,36,,36,,,,59,,,,,,,,,,,,36,,,,,,,,16,8,16,,,,,,23,,,,,,,,,56,14,302
Barbados,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
Belgium,,,,81,85,84,93,54,58,16,9,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,486
Belize,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,1
