"TIV of arms exports from Soviet Union, 1970-2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 09 December 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
Afghanistan,9,149,124,,,90,230,33,232,360,352,382,294,236,368,153,287,561,1046,2152,1871,1411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10340
Algeria,0,,180,110,13,56,70,998,1221,1815,1342,1274,1261,485,397,334,146,329,271,454,660,896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12309
ANC (South Africa)*,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Angola,,,,,,173,171,105,146,104,128,238,357,563,468,502,664,1173,939,127,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5984
Bangladesh,,,,70,42,,,,,,,26,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149
Benin,,,,,,,,,17,6,,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
Botswana,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Bulgaria,751,373,457,282,299,388,366,490,873,320,562,947,573,727,908,593,870,411,223,334,675,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11761
Burkina Faso,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
Burundi,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Cabo Verde,,,,,,,2,,,18,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
Cambodia,,,,,,,,,5,,34,,,13,67,63,28,50,8,119,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432
Central African Republic,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
China,,,,,,,,,,,,,,,,,,,,,81,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341
Congo,8,10,1,,,1,,,2,13,9,,,,25,,,,24,44,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179
Croatia,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Cuba,155,162,452,420,408,200,315,609,503,410,347,989,871,770,418,352,281,73,167,94,169,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8321
Cyprus,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Czechoslovakia,743,1098,946,1048,1080,822,213,300,556,495,468,824,890,798,913,1152,799,653,587,861,273,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15577
East Germany (GDR),846,575,974,1028,971,580,1261,999,974,887,869,754,1015,891,1106,1361,654,362,589,674,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17770
Egypt,1614,1982,3263,2437,848,100,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10264
Equatorial Guinea,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Ethiopia,,,,,,,19,1045,950,100,316,327,515,311,228,247,297,239,108,22,2,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4805
Finland,15,5,,12,99,50,33,12,105,35,302,21,31,26,10,30,34,34,33,75,45,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018
Grenada,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Guinea,1,4,4,,4,,,8,45,55,,1,1,1,,,39,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201
Guinea-Bissau,,,,,,10,8,,14,24,2,1,,,10,,35,,20,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144
Guyana,,,,,,,0,,,,,,,,4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
Hungary,22,237,121,348,452,405,288,304,541,485,384,141,142,117,251,229,79,80,35,59,14,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4740
India,530,1390,1436,979,797,591,1329,1879,814,712,1221,1347,1555,2029,2145,1943,2874,2845,3144,2728,2030,1228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35546
Iran,13,13,,,,,,740,740,,,,,,,,116,100,90,90,339,772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3013
Iraq,122,161,621,1844,1423,978,935,881,1675,1209,1746,1556,1846,1545,2457,2080,2342,2342,1103,1293,595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28753
Jordan,,,,,,,,,,,,,334,344,130,,246,68,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160
Kuwait,,,,,,,,,,11,11,,,,34,264,,,,57,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565
Laos,,3,,,,36,21,134,26,,35,54,2,94,26,59,,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525
Lebanon,,,4,,,,,,,,,,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
Libya,99,85,47,88,1252,1529,1652,2807,3814,2492,2445,2549,1950,729,338,536,391,154,9,218,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23191
Madagascar,,,,,,,,,,43,43,,,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
Mali,,15,,,,9,89,,,,,73,4,15,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217
Mauritania,,12,,,,,,,,,,1,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
Mongolia,15,13,8,58,76,190,26,24,42,29,60,72,152,114,110,98,27,36,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1175
Morocco,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Mozambique,,,,,,,14,133,477,96,39,42,64,59,94,73,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1097
Nicaragua,,,,,,,,,,,,31,36,44,165,85,88,151,63,14,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778
